ITEMNAME,sales_channel,unit_weight
CIMSTAR 40LF PINK     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,485
GX COOL 1400      5GLPL,NON-DISTRIBUTION,44
2066-8 - SYN PENETRATING LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,28.3
CHEMPET 6512 CLEANER   55G/208L DRUM,NON-DISTRIBUTION,514.8422421052629
VALRUST 5   275G TOTE,NON-DISTRIBUTION,1978.2018
PEARL-Z 3221D       208L/55G,NON-DISTRIBUTION,454
ACIDALL 1606     201L/53G,NON-DISTRIBUTION,575
CIMGUARD OAK PROTECT 2405     5G / 19L WHITE PLASTIC PAIL,NON-DISTRIBUTION,33
GF CLEAN 354      400 LB   FDR,NON-DISTRIBUTION,400
POWER WASH CLEANER 1327     197L/52G,NON-DISTRIBUTION,500
ROCKCUT 477   55G DRUM,NON-DISTRIBUTION,435.94175
6934-150 - TRIESTER HP-BA COMP OIL [AM]   1GL 4X1 CASE BLK,NON-DISTRIBUTION,32
6044-68 - SEMI-SYN GC LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,10.800000000000002
UNI KLEEN 1293 LIQUID     1249L/330G,NON-DISTRIBUTION,3750
KRO 1002     5GL PAIL,NON-DISTRIBUTION,45
COAGULITE 2718     55G DRUM,NON-DISTRIBUTION,525
6321-32 - OEM PAGR AIR COMP LUBE [GN]   5GL PAIL BLK,NON-DISTRIBUTION,37
TECHNICOAT ZN NI 3600     55G DRUM,NON-DISTRIBUTION,577
ACG-2     400LB DRUM,NON-DISTRIBUTION,400
PERKUT 486-GG      55GL DRUM,NON-DISTRIBUTION,405
AQUAKLEAN ODP     55G DRUM,NON-DISTRIBUTION,463
ACCUCUT 400 CLEAR      55GL DRUM,NON-DISTRIBUTION,396
6066-10 - SYN FG PENETRATING LUBE   55GL DRUM GRN,NON-DISTRIBUTION,381
PHOS DIP 47-XD MAKE-UP     1166L/308G,NON-DISTRIBUTION,3900
CIMTECH 500 PINK     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,485
2097-50 - CALDERA 6 - PAG HTF   5GL PAIL TH,NON-DISTRIBUTION,38
PERCHEM 1195      BULK (POUNDS),NON-DISTRIBUTION,1
GX COOL 3990H      55G DRUM,NON-DISTRIBUTION,429
TRAILER BRITE     208L/55G DRUM,NON-DISTRIBUTION,493
WASHOFF 140      5GLPL,NON-DISTRIBUTION,33
GX PROOF 1293    55G DRUM,NON-DISTRIBUTION,513
GX PROOF 6510A      330G TOTE,NON-DISTRIBUTION,2247
PERKOOL 715-HD     1249L/330G TOTE,NON-DISTRIBUTION,2809
GX COOL 2192-CM   55G / 208L BLACK STEEL DRUM,NON-DISTRIBUTION,484
GX COOL 2192-CM     330G / 1249L,NON-DISTRIBUTION,2906
PERLUBE AW-68        330GL PL TOTE,NON-DISTRIBUTION,2419
PERDRAW 2210-MV      55GL DRUM,NON-DISTRIBUTION,452
GF MASK 63P       5GLPL,NON-DISTRIBUTION,43
EGO 460      18.9L/5G,NON-DISTRIBUTION,38
C-CLEAN 96TF     275G TOTE,NON-DISTRIBUTION,3000
GLAZECOOL 560     208L/55G DRUM,NON-DISTRIBUTION,441
LIQUID HI ALK      208L/55G,NON-DISTRIBUTION,691
BLUE COOL S2571     TOTE,NON-DISTRIBUTION,2824
ISOPROPYL ALCOHOL 99%     5GLPL,NON-DISTRIBUTION,33
GX CLEAN 5787U (CAT)     1249L/330GL TOTE,NON-DISTRIBUTION,2974
PERKOTE 10-376      330GL PL TOTE,NON-DISTRIBUTION,2928
CIMTECH 410C     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,486
CIMCLEAN 30 PINK     275G / 1041L TOTE,NON-DISTRIBUTION,2489
ACCUVIS 32 G     250G TOTE,NON-DISTRIBUTION,1808
