ITEMNAME,sales_channel,mapped_pack_size,anchor_pack,pl1,pl2,pl3,pl4,segment_enterprise_anchor_target_price,segment_a_anchor_target_price,segment_b_anchor_target_price,segment_c_anchor_target_price,segment_d_anchor_target_price,anchor_book_price_per_weight,anchor_floor_price_per_weight,p10,p20,p30,p40,p50,p60,p70,p80,p90
ACCUDRAW 2336      55G DRUM,NON-DISTRIBUTION,DRUM,DRUM,METAL FORMING,"MINERAL, SOLUBLE",ACCU,ACCUDRAW 2336,2.7216679104477612,2.7216679104477612,2.7216679104477612,2.7216679104477612,2.7216679104477612,2.8512711442786074,2.2444585380788364,2.7920646766169157,2.7920646766169157,2.7920646766169157,2.7920646766169157,2.7920646766169157,2.7920646766169157,2.7920646766169157,2.7920646766169157,2.7920646766169157
C-CLEAN 96TF     275G TOTE,NON-DISTRIBUTION,TOTE,TOTE,INDUSTRIAL CLEANERS,ALKALINE CLEANERS / DESCALERS,C,C-CLEAN 96TF,1.0071700000000001,1.1241233333333334,1.1241233333333334,1.1241233333333334,1.1241233333333334,1.2365356666666667,0.6383179570999571,1.0071700000000001,1.0071700000000001,1.1241233333333334,1.1241233333333334,1.1241233333333334,1.1241233333333334,1.1241233333333334,1.1241233333333334,1.1241233333333334
GF ACID CLEAN 2510      50 LB   PAIL,NON-DISTRIBUTION,SMALL,DRUM,INDUSTRIAL CLEANERS,ACID CLEANERS / DESCALERS,GF,SULFAMIC ACID  (CRYSTAL GRADE),5.2,5.2,5.2,5.2,5.2,5.720000000000001,1.236555569230769,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73
6531-68 - SYN GEAR & BEARING FLUID   5GL PAIL BLK,NON-DISTRIBUTION,SMALL,SMALL,LUBRICANT,MAINTENANCE,ISEL,6531/6532 Syn Gear + Bearing Fluid ISO 68,4.037541666666667,4.037541666666667,4.037541666666667,4.037541666666667,4.037541666666667,4.229805555555556,1.3220580307136405,3.8452777777777776,3.8452777777777776,3.845277777777778,3.845277777777778,3.845277777777778,3.845277777777778,3.845277777777778,3.845277777777778,3.845277777777778
PERLUBE AW-150      5GLPL,NON-DISTRIBUTION,SMALL,TOTE,LUBRICANT,MAINTENANCE,PER,PERLUBE AW-100-S / DOUBLE-LUBE AW 100,1.0118420967422803,1.0524703557312254,1.365195691413096,1.427250041022782,1.427250041022782,1.427250041022782,1.0118420967422803,1.9426315789473683,1.9426315789473683,1.9426315789473683,1.9426315789473683,2.606842105263158,2.606842105263158,2.606842105263158,2.606842105263158,2.606842105263158
LUBRICOOLANT XL      208L/55G,NON-DISTRIBUTION,DRUM,TOTE,METAL REMOVAL,"MINERAL, SOLUBLE",LUBRI,LUBRICOOLANT XL,3.3460233697700716,3.3460233697700716,3.3460233697700716,4.3527663279031525,4.3527663279031525,4.542017037811986,2.0792872998172056,3.3472850678733033,3.3472850678733033,5.3155429864253385,5.3155429864253385,5.3155429864253385,5.3155429864253385,5.3155429864253385,7.137782805429865,7.137782805429865
PERKUT 131      55GL DRUM,NON-DISTRIBUTION,DRUM,DRUM,METAL REMOVAL,"MINERAL, STRAIGHT",PER,PERKUT 131,1.459927033492823,1.459927033492823,1.459927033492823,1.459927033492823,1.459927033492823,1.5294473684210528,1.2476238866396758,1.5904066985645933,1.5904066985645933,1.5904066985645933,1.5904066985645933,1.5904066985645933,1.5904066985645933,1.5904066985645933,1.5904066985645933,1.5904066985645933
CRUD BUSTER     BULK GALLONS,NON-DISTRIBUTION,BULK,BULK,INDUSTRIAL CLEANERS,MAINTENANCE,CRUD BUSTER,CRUD BUSTER,0.9446364237923682,0.9763987942063084,1.0058083964414382,1.0058083964414382,1.0058083964414382,1.0740386736269394,0.38823191209863217,0.9446364237923682,0.9446364237923682,0.9446364237923682,0.9446364237923683,0.9763987942063084,1.0058083964414382,1.0058083964414382,1.0058083964414382,1.0058083964414382
MAXAMP E-47     400 LB  FDR,NON-DISTRIBUTION,DRUM,DRUM,INDUSTRIAL CLEANERS,VIBRATORY / ULTRASONIC / ELECTROCLEANER,MAXAMP,MAXAMP E-47,1.6007996296296294,1.6007996296296294,1.6007996296296294,1.6007996296296294,1.7784510416666668,1.7784510416666668,1.6007996296296294,1.6869999999999998,1.6869999999999998,1.6869999999999998,1.6869999999999998,1.6869999999999998,1.6869999999999998,1.6869999999999998,1.6869999999999998,2.043875
PERCHEM 1140-DO     BULK GALLONS,NON-DISTRIBUTION,BULK,BULK,INDUSTRIAL CLEANERS,SOLVENT,PER,PERCHEM 1140-DO / POLYDRAW AMBER 16 VO,1.1956930555529306,1.2353075700388774,1.2353075700388774,1.2353075700388774,1.2353075700388774,1.3588383270427653,1.0717525393938239,1.167267373402709,1.167267373402709,1.1956930555529306,1.2353075700388774,1.2353075700388774,1.2353075700388774,1.2353075700388774,1.2353075700388774,1.2353075700388774
RED ACID CLEANER     18.9L/5G PAIL,NON-DISTRIBUTION,SMALL,SMALL,Cleaners,Acid,RED ACID CLEANER,RED ACID CLEANER,2.3501960784313725,2.3521578004381327,2.454705882352941,2.4547058823529415,2.659215686,2.659215686,0.8700749203741588,2.3501960784313725,2.3501960784313725,2.3501960784313725,2.3501960784313725,2.3501960784313725,2.3501960784313725,2.3501960784313725,2.3501960784313725,2.3501960784313725
PHOS DIP 47-XW REPLENISHER     204L/54G,NON-DISTRIBUTION,DRUM,TOTE,SURFACE FINISHING,HEAVY ZINC AND MANGANESE,PHOS DIP,PHOS DIP 47-XW REPLENISHER,0.9100348837209302,0.9433372093023256,0.9433372093023256,0.9433372093023256,0.9433372093023256,1.0376709302325582,0.721746877,1.416157142857143,1.416157142857143,1.416157142857143,1.416157142857143,1.416157142857143,1.416157142857143,1.416157142857143,1.416157142857143,1.416157142857143
IPW-3001      208L/55G,NON-DISTRIBUTION,DRUM,DRUM,INDUSTRIAL CLEANERS,PLASTIC,IPW,IPW-3001,3.0449320388349514,3.0449320388349514,3.0449320388349514,3.0449320388349514,3.0449320388349514,3.3494252427184468,1.0680828870684913,3.0449320388349514,3.0449320388349514,3.0449320388349514,3.0449320388349514,3.0449320388349514,3.0449320388349514,3.0449320388349514,3.0449320388349514,3.0449320388349514
BLUE STAR S 6150/46     275GL TOTE,NON-DISTRIBUTION,TOTE,TOTE,LUBRICANT,Compressor & Vacuum,BLUE,Blue Star S 6150/46,5.533792929292929,5.533792929292929,5.533792929292929,5.533792929292929,5.533792929292929,6.087172222222223,3.8405113718673043,5.533792929292929,5.533792929292929,5.533792929292929,5.533792929292929,5.533792929292929,5.533792929292929,5.533792929292929,5.533792929292929,5.533792929292929
GF CLEAN 150SL     55G DRUM,NON-DISTRIBUTION,DRUM,DRUM,INDUSTRIAL CLEANERS,ALKALINE CLEANERS / DESCALERS,GF,GF CLEAN 150SL,1.77,1.8568139963167587,1.936611418047882,2.0766850828729284,2.0766850828729284,2.0766850828729284,0.5570312188896551,1.740865561694291,1.77,1.77,1.831307550644567,1.8568139963167587,1.8862615101289135,1.9947145488029465,2.0766850828729284,2.0766850828729284
BLUE STAR XE 9810/3000-1.5     3715LB RET TOTE,NON-DISTRIBUTION,TOTE,TOTE,LUBRICANT,GREASE,BLUE,Blue Star XE 9810/3000-1.5,4.9786675639300135,4.9786675639300135,4.9786675639300135,4.9786675639300135,4.9786675639300135,5.2157469717362055,4.7020077999792935,4.7415881561238225,4.7415881561238225,4.7415881561238225,4.7415881561238225,4.7415881561238225,4.7415881561238225,4.7415881561238225,4.7415881561238225,4.7415881561238225
QUEL ACID CIP     18.9L/5G PAIL,NON-DISTRIBUTION,SMALL,DRUM,Cleaners,Acid,QUEL,QUEL ACID CIP,0.8377315000000001,0.9578159789308849,0.9755533118740495,1.0198966442319606,1.0198966442319606,1.0198966442319606,0.31666144509860966,1.1634693877551021,1.1634693877551021,1.1634693877551021,1.1634693877551021,1.1634693877551021,1.1634693877551021,1.4975510204081632,1.4975510204081632,1.4975510204081632
